CCSD(T) 3b energies
dV_123 = 0.0202 kelvin
dV_123 = 72.6625 kelvin
dV_123 = 176.4746 kelvin
dV_123 = 62.1545 kelvin
dV_123 = 20.2731 kelvin
dV_123 = 7.4579 kelvin
dV_123 = 3.1239 kelvin
dV_123 = 1.4404 kelvin
dV_123 = 0.7139 kelvin
dV_123 = 0.3748 kelvin
dV_123 = 0.1183 kelvin
dV_123 = -4414.6346 kelvin
dV_123 = -242.2769 kelvin
dV_123 = -4.1803 kelvin
dV_123 = -4.4693 kelvin
dV_123 = -3.62 kelvin
dV_123 = -1.9908 kelvin
dV_123 = -1.0285 kelvin
dV_123 = -0.5413 kelvin
dV_123 = -0.2964 kelvin
dV_123 = -0.1682 kelvin
dV_123 = -0.0604 kelvin
dV_123 = 71.1814 kelvin
dV_123 = 28.9252 kelvin
dV_123 = 0.5581 kelvin
dV_123 = -1.7483 kelvin
dV_123 = -0.8942 kelvin
dV_123 = -0.3615 kelvin
dV_123 = -0.1475 kelvin
dV_123 = -0.0653 kelvin
dV_123 = -0.0319 kelvin
dV_123 = -0.01 kelvin
dV_123 = 326.1558 kelvin
dV_123 = 158.7547 kelvin
dV_123 = 11.1718 kelvin
dV_123 = -7.8995 kelvin
dV_123 = -5.2109 kelvin
dV_123 = -2.5016 kelvin
dV_123 = -1.1789 kelvin
dV_123 = -0.5827 kelvin
dV_123 = -0.3053 kelvin
dV_123 = -0.1682 kelvin
dV_123 = -0.0584 kelvin
dV_123 = 11.1831 kelvin
dV_123 = 17.3053 kelvin
dV_123 = 4.2728 kelvin
dV_123 = 1.0122 kelvin
dV_123 = 0.2428 kelvin
dV_123 = 0.0398 kelvin
dV_123 = -0.0139 kelvin
dV_123 = -0.0232 kelvin
dV_123 = -0.0172 kelvin
dV_123 = -65.7074 kelvin
dV_123 = -44.3794 kelvin
dV_123 = -19.8509 kelvin
dV_123 = -8.3694 kelvin
dV_123 = -3.6672 kelvin
dV_123 = -1.7081 kelvin
dV_123 = -0.8466 kelvin
dV_123 = -0.4441 kelvin
dV_123 = -0.2446 kelvin
dV_123 = -0.084 kelvin
dV_123 = 30.5846 kelvin
dV_123 = 15.31 kelvin
dV_123 = 5.4415 kelvin
dV_123 = 2.0239 kelvin
dV_123 = 0.8163 kelvin
dV_123 = 0.3533 kelvin
dV_123 = 0.1629 kelvin
dV_123 = 0.0395 kelvin
dV_123 = -948.5883 kelvin
dV_123 = -62.3089 kelvin
dV_123 = -15.5992 kelvin
dV_123 = -5.7376 kelvin
dV_123 = -2.1493 kelvin
dV_123 = -0.8542 kelvin
dV_123 = -0.3677 kelvin
dV_123 = -0.1716 kelvin
dV_123 = -0.0856 kelvin
dV_123 = -0.0454 kelvin
dV_123 = -0.0255 kelvin
dV_123 = -0.0092 kelvin
dV_123 = 617.5944 kelvin
dV_123 = 62.5451 kelvin
dV_123 = -7.1552 kelvin
dV_123 = -6.5964 kelvin
dV_123 = -3.0766 kelvin
dV_123 = -1.3627 kelvin
dV_123 = -0.63 kelvin
dV_123 = -0.3092 kelvin
dV_123 = -0.1605 kelvin
dV_123 = -0.0876 kelvin
dV_123 = -0.05 kelvin
dV_123 = -0.0185 kelvin
dV_123 = -6135.1844 kelvin
dV_123 = -64.2045 kelvin
dV_123 = 63.7044 kelvin
dV_123 = 19.7164 kelvin
dV_123 = 6.6799 kelvin
dV_123 = 2.6117 kelvin
dV_123 = 1.123 kelvin
dV_123 = 0.5203 kelvin
dV_123 = 0.2576 kelvin
dV_123 = 0.1349 kelvin
dV_123 = 0.0737 kelvin
dV_123 = 0.0248 kelvin
dV_123 = 29.4737 kelvin
dV_123 = 3.5598 kelvin
dV_123 = 0.0165 kelvin
dV_123 = -0.2299 kelvin
dV_123 = -0.1413 kelvin
dV_123 = -0.075 kelvin
dV_123 = -0.0406 kelvin
dV_123 = -0.0227 kelvin
dV_123 = -0.013 kelvin
dV_123 = -0.0048 kelvin
dV_123 = 97.2922 kelvin
dV_123 = 42.389 kelvin
dV_123 = 9.4604 kelvin
dV_123 = 2.4151 kelvin
dV_123 = 0.7827 kelvin
dV_123 = 0.3032 kelvin
dV_123 = 0.1318 kelvin
dV_123 = 0.0618 kelvin
dV_123 = 0.031 kelvin
dV_123 = 0.0162 kelvin
dV_123 = 0.0048 kelvin
dV_123 = 34.5525 kelvin
dV_123 = 0.6518 kelvin
dV_123 = -2.0761 kelvin
dV_123 = -1.1634 kelvin
dV_123 = -0.5168 kelvin
dV_123 = -0.227 kelvin
dV_123 = -0.1051 kelvin
dV_123 = -0.0519 kelvin
dV_123 = -0.0269 kelvin
dV_123 = -0.0087 kelvin
dV_123 = -90.5805 kelvin
dV_123 = 4.5869 kelvin
dV_123 = 3.8987 kelvin
dV_123 = 1.7027 kelvin
dV_123 = 0.6961 kelvin
dV_123 = 0.2915 kelvin
dV_123 = 0.1293 kelvin
dV_123 = 0.0608 kelvin
dV_123 = 0.0306 kelvin
dV_123 = 0.0089 kelvin
dV_123 = 11.5894 kelvin
dV_123 = 8.7911 kelvin
dV_123 = -2.974 kelvin
dV_123 = -2.1877 kelvin
dV_123 = -1.0111 kelvin
dV_123 = -0.4486 kelvin
dV_123 = -0.2092 kelvin
dV_123 = -0.1031 kelvin
dV_123 = -0.0542 kelvin
dV_123 = -0.0301 kelvin
dV_123 = -0.0105 kelvin
dV_123 = 134.8067 kelvin
dV_123 = 57.9679 kelvin
dV_123 = 16.601 kelvin
dV_123 = 5.7415 kelvin
dV_123 = 2.3067 kelvin
dV_123 = 1.0189 kelvin
dV_123 = 0.4851 kelvin
dV_123 = 0.2461 kelvin
dV_123 = 0.1314 kelvin
dV_123 = 0.0428 kelvin
dV_123 = -1118.8478 kelvin
dV_123 = 176.2767 kelvin
dV_123 = 62.6034 kelvin
dV_123 = 16.6523 kelvin
dV_123 = 5.0681 kelvin
dV_123 = 1.8126 kelvin
dV_123 = 0.7339 kelvin
dV_123 = 0.3259 kelvin
dV_123 = 0.1556 kelvin
dV_123 = 0.079 kelvin
dV_123 = 0.0231 kelvin
dV_123 = -29.1017 kelvin
dV_123 = -2.6513 kelvin
dV_123 = -0.0381 kelvin
dV_123 = 0.1768 kelvin
dV_123 = 0.144 kelvin
dV_123 = 0.096 kelvin
dV_123 = 0.0596 kelvin
dV_123 = 0.0362 kelvin
dV_123 = 0.022 kelvin
dV_123 = 0.0084 kelvin
dV_123 = 3.5417 kelvin
dV_123 = 0.3461 kelvin
dV_123 = -0.086 kelvin
dV_123 = -0.0805 kelvin
dV_123 = -0.044 kelvin
dV_123 = -0.0225 kelvin
dV_123 = -0.0119 kelvin
dV_123 = -0.0038 kelvin
dV_123 = 1034.5953 kelvin
dV_123 = 337.5919 kelvin
dV_123 = 64.7689 kelvin
dV_123 = 12.6662 kelvin
dV_123 = 2.9869 kelvin
dV_123 = 0.8567 kelvin
dV_123 = 0.283 kelvin
dV_123 = 0.1022 kelvin
dV_123 = 0.0387 kelvin
dV_123 = 0.0152 kelvin
dV_123 = 0.0019 kelvin
dV_123 = 69.455 kelvin
dV_123 = 7.08 kelvin
dV_123 = 0.4394 kelvin
dV_123 = -0.0975 kelvin
dV_123 = -0.0219 kelvin
dV_123 = 0.0225 kelvin
dV_123 = 0.0274 kelvin
dV_123 = 0.0212 kelvin
dV_123 = 0.0147 kelvin
dV_123 = 0.0059 kelvin
dV_123 = 24.2406 kelvin
dV_123 = 6.2656 kelvin
dV_123 = 2.0447 kelvin
dV_123 = 0.8756 kelvin
dV_123 = 0.4449 kelvin
dV_123 = 0.2441 kelvin
dV_123 = 0.1394 kelvin
dV_123 = 0.0497 kelvin
dV_123 = -3828.2494 kelvin
dV_123 = -220.2919 kelvin
dV_123 = -13.696 kelvin
dV_123 = -3.2517 kelvin
dV_123 = -1.5872 kelvin
dV_123 = -0.8163 kelvin
dV_123 = -0.4266 kelvin
dV_123 = -0.2293 kelvin
dV_123 = -0.1275 kelvin
dV_123 = -0.044 kelvin
dV_123 = -88.1643 kelvin
dV_123 = 46.419 kelvin
dV_123 = 12.6342 kelvin
dV_123 = 4.2135 kelvin
dV_123 = 1.6386 kelvin
dV_123 = 0.6825 kelvin
dV_123 = 0.302 kelvin
dV_123 = 0.142 kelvin
dV_123 = 0.0708 kelvin
dV_123 = 0.0201 kelvin
dV_123 = -30.1846 kelvin
dV_123 = -7.0867 kelvin
dV_123 = -2.2812 kelvin
dV_123 = -0.9743 kelvin
dV_123 = -0.4947 kelvin
dV_123 = -0.2716 kelvin
dV_123 = -0.1555 kelvin
dV_123 = -0.0562 kelvin
dV_123 = -779.4224 kelvin
dV_123 = -34.5191 kelvin
dV_123 = -18.5694 kelvin
dV_123 = -8.995 kelvin
dV_123 = -3.5198 kelvin
dV_123 = -1.3772 kelvin
dV_123 = -0.5757 kelvin
dV_123 = -0.2606 kelvin
dV_123 = -0.1267 kelvin
dV_123 = -0.0657 kelvin
dV_123 = -0.0359 kelvin
dV_123 = -0.0125 kelvin
dV_123 = 306.873 kelvin
dV_123 = 106.07 kelvin
dV_123 = 26.6772 kelvin
dV_123 = 7.3447 kelvin
dV_123 = 2.4219 kelvin
dV_123 = 0.9374 kelvin
dV_123 = 0.4067 kelvin
dV_123 = 0.1915 kelvin
dV_123 = 0.0963 kelvin
dV_123 = 0.051 kelvin
dV_123 = 0.016 kelvin
dV_123 = -1053.6007 kelvin
dV_123 = 318.7097 kelvin
dV_123 = 92.5275 kelvin
